ticket_id,title,description,category,priority,status,resolution,created_at,resolved_at,assigned_agent
TKT-0001,Cannot access shared drive after role change,User john.smith moved to HR department but still has access to previous department shared drives.,Access Management,Medium,resolved,Revoked access to previous department shares per role change procedure. Granted access to new department resources. Updated access matrix documentation.,2024-02-22T21:47:00,2024-02-23T19:47:00,Agent_A
TKT-0002,VM not starting after maintenance,Virtual machine VM-323 fails to boot after scheduled maintenance window. Error: kernel panic at boot.,Infrastructure,Medium,resolved,Restored VM from last known good snapshot. Identified BIOS misconfiguration during maintenance. Updated boot settings and verified full functionality.,2024-10-14T06:45:00,2024-10-14T17:45:00,Agent_E
TKT-0003,Suspected phishing email received,User received suspicious email claiming to be from IT department asking for password reset. Possible phishing attack.,Security,High,resolved,Confirmed phishing attempt. Blocked sender domain at mail gateway. Collected and deleted all instances of email from mailboxes. Sent awareness advisory to all staff.,2024-08-04T10:17:00,2024-08-04T13:17:00,Agent_A
TKT-0004,Hardware failure on blade server,Blade server BLD-4 in chassis CH-6 reporting memory ECC errors. Server is unstable.,Infrastructure,High,resolved,Ran memory diagnostics confirming faulty DIMM. Scheduled maintenance window. Replaced failed memory module. Server stable with no further ECC errors.,2024-01-23T23:29:00,2024-01-24T01:29:00,Agent_E
TKT-0005,Password policy compliance issue,Audit found 455 user accounts not compliant with new password policy. Force reset required.,Security,Low,resolved,Generated list of non-compliant accounts. Sent notifications. Enforced immediate password change via Group Policy. Compliance now at 100%.,2024-12-26T02:02:00,2024-12-26T20:02:00,Agent_B
TKT-0006,Hardware failure on blade server,Blade server BLD-9 in chassis CH-8 reporting memory ECC errors. Server is unstable.,Infrastructure,High,resolved,Ran memory diagnostics confirming faulty DIMM. Scheduled maintenance window. Replaced failed memory module. Server stable with no further ECC errors.,2024-07-08T11:13:00,2024-07-08T16:13:00,Agent_E
TKT-0007,MFA not working for remote access,User raj.kumar unable to complete MFA challenge. Authentication app showing wrong codes. Locked out of VPN.,Access Management,High,resolved,Re-enrolled user in MFA system with new authenticator app. Verified access with test authentication. Provided backup codes. Checked and corrected time sync on user device.,2024-07-13T08:59:00,2024-07-13T12:59:00,Agent_B
TKT-0009,Mobile app crashing on iOS,Company mobile app crashes on iOS 15.1 devices after latest update. Android users unaffected.,Application,Medium,resolved,Identified crash caused by deprecated API call in iOS 17. Submitted emergency fix. Temporary rollback to previous version available for affected users.,2024-10-26T13:57:00,2024-10-27T04:57:00,Agent_B
TKT-0010,BGP route flapping detected,BGP route flapping detected on ISP link Airtel. Packet loss 77% affecting cloud connectivity.,Network,High,resolved,Coordinated with ISP to address BGP route instability. ISP applied route dampening and fixed misconfigured peer. Route stabilized. Packet loss back to 0%.,2024-03-22T21:27:00,2024-03-22T23:27:00,Agent_E
TKT-0011,Database user permissions mismatch,Application service account svc_monitor missing SELECT permission on new transactions table after migration.,Database,Medium,resolved,Granted required SELECT permissions to service account on new tables. Updated application configuration. Tested full application workflow successfully.,2024-02-28T21:56:00,2024-02-29T21:56:00,Agent_A
